coauthor	join_id	all_viafs	localid	set	id	name.norm	name.alts	profession	hobbies	societal_activity	birthdate	birthplace	deathdate	deathplace	birthplace1	birthplace2	birth_county	birth_parish	birth_area	birth_village	birth_lat	birth_lon	birth_level_used	domicile_places	domicile_years_in_place_after_20	domicile_prop_in_plac	domicile_koht	domicile_linn	domicile_kyla	domicile_lat2	domicile_lon2	domicile_raw	edu_raw	edu_max_school	edu_max_school_level	edu_max_school_name	edu_years_in_school	edu_higher_raw	edu_higher_degree	family_parents	family_siblings	family_marriage	family_kids
$aKalamees, Aleksander,$d1897-1987	ISIK776	http://viaf.org/viaf/17055497	6925	ISIK	776	Kalamees, Aleksander	""	sporditegelane, spordiõpetaja, spordimetoodik	""	""	1897-07-31	Vastse-Antsla v. Võrumaa	1987-06-08	Tartu	Vastse-Antsla v. Võrumaa	Võ U-Antsla m	Võrumaa	""	Vastse-Antsla vald	U-Antsla ms.	57.76667	26.93333	6	Berliini	4	0.0810810810810811	""					""	""		""	""	1	""	""	Tööl Margus  K. (1860--1944), Kadri Veevo (1870--1944).	V-d Juhan (1892--1974, vt),  Konstantin (1895--1990.	vt).	Ae 1932 Leida Kraman (1910, Harku v Järve  k talun Karl K., Aliine).
$aKalasim, Linda,$d1902-2005	ISIK777	http://viaf.org/viaf/62152380096501762589	6926	ISIK	777	Kalasim, Linda	""	""	""	""	1902-07-22	""	""	""	""	Tal	""	""	""	Tal	59.80556	146.93889	1	""			""					""	""		""	""		""	""	ųrim  Voldemar Kiisvek.	""	Ae 1930 K. Tall I reaalk ekst 1922, Tü agr 1922--30  c.l., 3412, ENüS.	Põllut.k-de õp, Sksm-le 1944, Inglism-le 1947,  Austraaliasse.
$aKaljumäe, Voldemar	ISIK783	""	6933	ISIK	783	Kaljumäe, Voldemar	Susi, V.	ajakirjanik	""	""	""	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKaljuvee, Julius,$d1869-1940	ISIK785	http://viaf.org/viaf/79946535	6935	ISIK	785	Kaljuvee, Julius	Kalkun, Julius~kuni 1928	õpetaja, koolikirjanik	""	""	1869-07-09	""	1946-00-00	""	""	Võ  Saru v Kallaste koo	Võrumaa	""	Saru vald	""	57.60472	26.53861	4	Tallinn	21	0.327868852459016	City Hotel Tallinn, hotell	FALSE		59.4347222222222	24.7316666666667	""	""	2	kreisk	Võru kreisk	6	""	""	K.õp Henno Kalkun (1845--, Saru v Pundsalt),  Katharina Hanimägi (1847--, Saru v Palumaalt).	""	Ae 1910 Liisa Uustalu  (snd Raud, 1874--, Küti v Väljaotsa perem Madis R., Mai).	Aino Vaike  (1911, vt), Armas Kullervo (1913, vt).
$aKallas, Aino$d1878-1956	ISIK787	http://viaf.org/viaf/9887250	6937	ISIK	787	Kallas, Aino	Krohn, Aino Julia Maria~kuni 1900	kirjanik	""	""	1878-08-02	Viiburi lään, Kiiskila mõis	1956-11-09	Helsingi	Viiburi lään, Kiiskila mõis	""	""	""	""	""				Helsingi	58	0.61	""					""	""	3	aleksk	2.  ihtüoloog Aleksander M.	78	""	""	2.VIII 1878  Sm Viiburi lääni Kiiskilä ms.	Hels ülik prof Julius Leopold Friedrich  Krohn (1835--1888; p Kaarle Leopold 1863--.	Hels ülik prof, EKSi aul ja  Tü dr h c), tüt.k juh Maria Wilhelmina Lindroos.	Ae 1900 Oskar Kallas  (vt).
$aKallas, Aino,$d1878-1956	ISIK787	http://viaf.org/viaf/9887250	6937	ISIK	787	Kallas, Aino	Krohn, Aino Julia Maria~kuni 1900	kirjanik	""	""	1878-08-02	Viiburi lään, Kiiskila mõis	1956-11-09	Helsingi	Viiburi lään, Kiiskila mõis	""	""	""	""	""				Helsingi	58	0.61	""					""	""	3	aleksk	2.  ihtüoloog Aleksander M.	78	""	""	2.VIII 1878  Sm Viiburi lääni Kiiskilä ms.	Hels ülik prof Julius Leopold Friedrich  Krohn (1835--1888; p Kaarle Leopold 1863--.	Hels ülik prof, EKSi aul ja  Tü dr h c), tüt.k juh Maria Wilhelmina Lindroos.	Ae 1900 Oskar Kallas  (vt).
$aKallas, Linda,$d1888(1889)-1937	ISIK789	http://viaf.org/viaf/9138149544629900490009	6939	ISIK	789	Kallas, Linda	Tõnisso-Kallas, Linda~Kaskjärve andmeil.	""	""	""	""	""	1937-00-00	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKariste, Aare,$cpseud.,$d1888(1889)-1937	ISIK789	http://viaf.org/viaf/9138149544629900490009	6939	ISIK	789	Kallas, Linda	Tõnisso-Kallas, Linda~Kaskjärve andmeil.	""	""	""	""	""	1937-00-00	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKallas, Oskar,$d1868-1946	ISIK791	http://viaf.org/viaf/54136268	6942	ISIK	791	Kallas, Oskar	""	Postimehe toimetus~toimetuse liige~1903~1918	""	""	1868-10-25	""	1946-01-26	""	""	Sa Kaarma kir-m	Saaremaa	""	""	""	58.41333	22.49639	6	Aleksander	69	0.618181818181818	= rööp- või >> viit põhinimele			59.4369444444445	24.7536111111111	""	""	3	aleksk	2. ihtüoloog Aleksander M.	78	""	""	Köster  Mihkel K. (1824--96, Leisi v Mäelt), Wilhelmine Allas (1829--94, Karja  köster Reedik A.).	2~venda (Rudolf /1851--1913, vt/, Eduard  /1858--1900, vt/), 2~õde (Ida Niggol /1853--1930/, Vilhelmine Kirotar  /1863--1923/).	Ae 1900 Aino Julia Maria Krohn (1878--1956, vt).	""
$aKallas, Rudolf Gottfried,$d1851-1913	ISIK793	http://viaf.org/viaf/105832223	6944	ISIK	793	Kallas, Rudolf Gottfried	""	pastor	""	""	1851-05-22	""	1913-04-22	""	""	Sa Kaarma v.	Saaremaa	""	Kaarma vald	""	58.28499	22.46561	2	Rõuge	14	0.209677419354839	""					""	""	5	ülik	Tü theol	17	""	""	Köster  Mihkel K. (1825--96), Wilhelmine Allas (1829--94).	2~venda (Eduard  /1858--1900/, Oskar /1868--1946, vt/), 2~õde (Ida Niggol /1853--1930/,  Vilhelmine Kirotar /1863--1923/).	Ae Ida Emilie Eleonore Bernhoff  Mäksalt (1862--1918, Moskva kaupm Carl-Friedrich B., Helene-Juliane  Marie Birkenberg).	Helle Hammer (1886--1940), Margarete (1887--1932),  kir.õp Axel (1890--1922, vt), dr med Helmut Richard (1897--1945, vt).
$aKallis, Oskar,$d1892-1918	ISIK795	""	6946	ISIK	795	Kallis, Oskar	""	kunstnik	""	""	1892-11-23	""	1918-01-01	""	""	Tall rdtl p.	""	""	""	Tallinn	59.43696	24.75353	1	Kunstis	4	0.115384615384615	""					""	""		""	""	8	""	""	""	""	""	""
$aKallus, Aleksander,$d1897-1942	ISIK796	http://viaf.org/viaf/14149542575600300131	6947	ISIK	796	Kallmeyer, Theodor	""	pastor	""	""	""	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKalmholm, J.	ISIK799	http://viaf.org/viaf/17149542820100301983	6950	ISIK	799	Kalmholm, J.	""	""	""	""	1881-00-00	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKalmholm, J.J	ISIK799	http://viaf.org/viaf/17149542820100301983	6950	ISIK	799	Kalmholm, J.	""	""	""	""	1881-00-00	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKampmaa, Mihkel,$d1867-1943	ISIK805	http://viaf.org/viaf/66073129	6957	ISIK	805	Kampmaa, Mihkel	Kampmann, Mihkel~kuni 1937	õpetaja, koolikirjanik, ajakirjanik, luuletaja	""	""	1867-03-28	Sauga v. Pärnumaa	1943-09-30	Tartu	Sauga v. Pärnumaa	Pä Sauga v Rannaküla Maidla-Uuetoa	Pärnumaa	""	Sauga vald	""	58.43848	24.5777	2	Tartu%20linn	36	0.460526315789474	Tartu linn	TRUE		58.38	26.7225	""	""	5	ülik	Audru khkk  (A.~Grenzstein	15	""	""	Kalur (erusoldat) Madis K. (1833--68), Anu Maidlas (1832--1905).	Lell  Pärnu veoettevõtja Juhan K. (1830--1909).	Ae 1892 Marie Henriette Sonne  (1874--1931, Porkuni ms val Aleksander S. /srn 1916/, Elise Martinson  /srn 1895/).	Mary (1904--, vt), Eerika (1911), 5 l.
$aKana, Eduard,$d1900-1951	ISIK810	""	6963	ISIK	810	Kana, Eduard	""	kunstnik, õpetaja	""	""	""	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKanarik, Paul,$d1907-1940	ISIK812	http://viaf.org/viaf/1060780	6965	ISIK	812	Kanarik, Paul	""	ajakirjanik	""	""	1907-01-29	""	1940-09-15	""	""	Trt.	""	""	""	Trt.				Tartu%20linn	13	1	Tartu linn	TRUE		58.38	26.7225	""	""		""	""	12	""	""	Polits Jakob K. (1870--,  Põlvast), Marie Adams (1867--, Tähtvere v metsavahi t).	ö Erna Kelder  (1901--, ae 1922 metsaül Sulev K. /vt/).	Vall.	V Villem (1892--, vt), õ  Erna Kelder (1901--, ae 1922 metsaül Sulev K., vt).
$aKangilaski, Juhan,$d1904-1981	ISIK816	http://viaf.org/viaf/442149544563100490005	6969	ISIK	816	Kangilaski, Juhan	Kangilaski, Johannes~kuni 1937	kunstnik	""	""	1904-05-19	""	1981-03-20	""	""	Vil  V-Tänassilma v Valma Tiiuti	Viljandimaa	""	V-Tänassilma vald	""	58.33333	25.56667	6	Tallinn	31	0.38961038961039	City Hotel Tallinn, hotell	FALSE		59.4347222222222	24.7316666666667	""	""	1	vallak	V-Võidu Arumetsa v-k	11	""	""	Rentn Jaak K (1866--, V-Võidu Kangilaskilt),  Kadri Murs (1868--, Vilj v Mursilt).	V-d Jaan (1900--40, vt), Ott (1911--75,  vt).	Ae 1937 näitl Mari Kiin (1918--89, vt).	Jaak (1939, vt), Epp.
$aTseko,$cpseud.,$d1904-1981	ISIK816	http://viaf.org/viaf/442149544563100490005	6969	ISIK	816	Kangilaski, Juhan	Kangilaski, Johannes~kuni 1937	kunstnik	""	""	1904-05-19	""	1981-03-20	""	""	Vil  V-Tänassilma v Valma Tiiuti	Viljandimaa	""	V-Tänassilma vald	""	58.33333	25.56667	6	Tallinn	31	0.38961038961039	City Hotel Tallinn, hotell	FALSE		59.4347222222222	24.7316666666667	""	""	1	vallak	V-Võidu Arumetsa v-k	11	""	""	Rentn Jaak K (1866--, V-Võidu Kangilaskilt),  Kadri Murs (1868--, Vilj v Mursilt).	V-d Jaan (1900--40, vt), Ott (1911--75,  vt).	Ae 1937 näitl Mari Kiin (1918--89, vt).	Jaak (1939, vt), Epp.
$aKangilaski, Ott,$d1911-1975	ISIK817	http://viaf.org/viaf/72426456	6970	ISIK	817	Kangilaski, Ott	Kangilaski, Otto~kuni 1937	kunstnik, prosaist	""	""	1911-06-14	""	1975-04-28	""	""	Vil V-Võidu v Verilaske k.	Viljandimaa	""	V-Võidu vald	""	58.33333	25.56667	6	Lagedil	27	0.40625	""					""	""	5	ülik	Tü phil	24	""	""	Talun Jaak K., Kadri Murs.	V-d Jaan  (1900--40, vt) ja Juhan (1904--81, vt).	""	""
$aKangro-Pool, J.	ISIK821	""	6975	ISIK	821	Kangro-Pool, Jaan	""	""	""	""	""	""	1917-00-00	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKangro-Pool, Jaan,$d1866-1921	ISIK821	""	6975	ISIK	821	Kangro-Pool, Jaan	""	""	""	""	""	""	1917-00-00	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKangro-Pool, Rasmus,$cvanem,$d1890-1963	ISIK822	http://viaf.org/viaf/68939401	6976	ISIK	822	Kangro-Pool, Rasmus	""	kunstiteadlane	""	""	1890-12-20	""	1963-05-09	""	""	Ta Vahi m	Tartumaa	""	""	Vahi ms.	59.37578	24.46893	3	Tallinn	13	0.164383561643836	City Hotel Tallinn, hotell	FALSE		59.4347222222222	24.7316666666667	""	""	2	gümn	g ekst	10	""	""	Sepp  (hilj tööl Trt-s) Märt K.-P., Liisa Jürman.	V Voldemar  (1889--1942/1943, vt).	Ae 1. 1915--29 laulja Elvi Nander (Vaher,  1898--1981, vt, lah, ae 2. kirj August Gailit /vt/), 2. 1929 näitl  Linda Reial (1908--72, vt).	Rasmus Kangropool (1930--2001, vt).
$aKangur, Leo,$d1901-?	ISIK832	""	6987	ISIK	832	Kangur, Leo	""	""	""	""	""	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKangur, P.	ISIK833	""	6988	ISIK	833	Kangur, P.	""	UNEDITEDTöS  Isotamm 2	""	""	1884-02-07	""	""	""	""	Ta Aru v Karijärve k-k õp p.	Tartumaa	""	Aru vald	""	58.53556	22.71194	4	Kärstna	3	0.217391304347826	Kärstna k		TRUE	58.1433333333333	25.8038888888889	""	""	2	min.k	öp Kärstna ja Võisiku min.k-s	5	""	""	Aru  min.k, II TöS 1899--1903.	""	""	""
$aKann, Aleksander,$d1889-1942	ISIK834	http://viaf.org/viaf/132149542620200300865	6989	ISIK	834	Kann, Aleksander	""	advokaat	""	""	1889-10-11	""	1942-05-10	""	""	Sa Muhu Rintsi	Saaremaa	""	""	""	58.41333	22.49639	6	Tallinn	24	0.433962264150943	City Hotel Tallinn, hotell	FALSE		59.4347222222222	24.7316666666667	""	""	5	ülik	Pb ülik jur	16	""	""	Aö köster-õp  Stepan K. (1850--, Matvei K. Muhust), Helene Reim (1851--, Muhust).	V-d  Nikolai (1873--1948, vt), Peeter (1883--1941, vt), õ Olümpiada Tusti  (1880--, vt).	Ae 1917 Valfriede Kärner (1894--).	Tamara Carmen Ainsar  (1918--50, vt).
$aKann, Peeter,$d1883-1943	ISIK836	http://viaf.org/viaf/8751149544627100490009	6991	ISIK	836	Kann, Peeter	""	jurist, riigikohtunik	""	""	1883-01-09	""	1943-01-17	""	""	(28.XII 1882) Sa Muhu Rintsi	Saaremaa	""	""	""	58.41333	22.49639	6	Tallinn	1786	0.980456026058632	City Hotel Tallinn, hotell	FALSE		59.4347222222222	24.7316666666667	""	""	5	ülik	Pb ülik jur	8	""	""	Aö  köster-kooliõp Stepan K., Helene Reim.	V-d Nikolai (1873--1948, vt),  Aleksander (1889--1942, vt), õ Olümpiada Tusti (1880--, vt).	Ae 1921  Marta Pollakse (1893--, Gustav P.  Trt-st, vab 1955).	""
$aKansa, Eduard,$d1887-1946	ISIK837	http://viaf.org/viaf/7062149544614500490006	6992	ISIK	837	Kansa, Eduard	Kansmann, Eduard~kuni 1935	koolitegelane	""	""	1887-10-10	""	1946-10-02	""	""	Alice Michelson (1890--, Paldiski tööst Paul M., Juliane /srn  1933/).	""	""	""	""				Paldiski	15	0.559322033898305	""					""	""	5	ülik	Tü phys-math	20	""	""	Kalur  Hans K. (1852--1916, Kiideva v-st), Liisa Korton (1860--, Leetse v-st).	""	Ae 1912 Alice Michelson (1890--, Paldiski tööst Paul M., Juliane /srn  1933/).	Tom (1913--90, vt), Manuel Sergei (1915, vt), Irene Lindi  (1918, vt).
$aKant, Edgar,$d1902-1978	ISIK838	http://viaf.org/viaf/119713443	6993	ISIK	838	Kant, Edgar	""	geograaf	""	""	1902-02-21	""	1978-10-16	""	""	Tal	""	""	""	Tal	59.80556	146.93889	1	Lundi	28	0.355263157894737	""					""	""	5	ülik	Tü geogr	11	""	""	Kaupm Jüri K., Elise Ruval.	""	Ae 1929 k.õp Leida Kalling (1904--71, vt).	Maret (1930, srn,  enesetapp), Mart (1934, merem).
$aKapp, Joosep,$d1833-1894	ISIK840	http://viaf.org/viaf/5655149544603600490005	6996	ISIK	840	Kapp, Joosep	""	UNEDITEDS-Jaani köster ja khkk õp 1853--94, EKmS asut (juh.l), EAleksK peakom.l,  ViljEPõllumS pres.	""	""	1833-05-12	""	1894-02-20	""	""	Vil Adavere ms kupja p.	Viljandimaa	""	""	Adavere ms	58.33333	25.56667	6	Jaani	41	0.655737704918033	Andresjaani t			59.0013888888889	24.9136111111111	""	""	3	õp-sem	Valga Zimse öS	4	""	""	""	""	Ae Minna  Martens (1841--1901, Vilj-st).	8 l: Aleksander (vt), Artur (vt), Hans (vt),  Margot Perli.
$aKappel, Johannes,$d1855-1907	ISIK843	http://viaf.org/viaf/121276418	6999	ISIK	843	Kappel, Johannes	""	helilooja	""	""	1855-07-02	""	1907-06-01	""	""	Ha Rapla-Uuskülas kooliõp (hiljem  Paide köstri) p.	Harjumaa	""	""	""	59.33333	24.83333	6	""			""					""	""		""	""		""	""	Pb konservat Homiliuse orelikl 1876--81 (esimene  eestlane).	Kooliõp Pb-s 1872--76, Hollandi saatk kiriku org 1881--1907,  koorijuht.	Helilooja.	Srn 1.VI 1907 Sksm-l Schömbergi sanat-s.
$aKareda, Endel,$d1914-1968	ISIK847	http://viaf.org/viaf/164829474	7003	ISIK	847	Kareda, Endel	""	majandusteadlane	""	""	1914-08-28	""	1968-04-22	""	""	Jõgeva	""	""	""	Jõgeva	58.74667	26.39389	1	Kanadasse	19	0.333333333333333	""					""	""		""	""	7	""	""	Kaupm  Rudolf Klausson, Fanny Erikson.	V Ilmar (1916--41).	Ae 1937 Helmi Urm  (1915--, Hellenurme ülevärava perem Juhan U., Jenny Tiilik).	""
$aKarlson, Ferdinand,$d1875-1941	ISIK855	http://viaf.org/viaf/2091149544575900490005	7012	ISIK	855	Karlson, Ferdinand	""	advokaat	""	""	1875-00-00	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKarotamm, Nikolai,$d1901-1969	ISIK864	http://viaf.org/viaf/824332	7021	ISIK	864	Karotamm, Nikolai	""	poliitik, majandusteadlane	""	""	1901-10-23	""	1969-09-26	""	""	Pärnu.	""	""	""	Pärnu.				Moskvas	15	0.205882352941176	""					""	""	3	õp-sem	Rakv öS  (heideti välja)	20	""	""	""	""	Puusepp Jüri (Georgi,  hilj Tõstamaa v Rammuka Langi om) K.  Ae 1924 Alma Saueselg (Joosep S.  Käina v-st, v kolonel Artur S. /vt/).	""
$aKarp, Villem,$d1861-1941	ISIK867	""	7024	ISIK	867	Karp, V.	""	""	""	""	""	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKarp, Villem,$d1861-?	ISIK867	""	7024	ISIK	867	Karp, V.	""	""	""	""	""	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aKaru, Elmar,$d1903-1996	ISIK876	http://viaf.org/viaf/31942394	7034	ISIK	876	Karu, E.	""	""	""	""	""	""	""	""	""	""	""	""	""	""				""			""					""	""		""	""		""	""	""	""	""	""
$aJaanhold, Jüri,$d1882-?	ISIK886	""	7045	ISIK	886	Jaanhold, Jüri	""	agronoom, piimandustegelane, ühistegelane	""	""	1882-04-16	Pani t. Olustvere v. Viljandimaa	""	""	Pani t. Olustvere v. Viljandimaa	Vil Olustvere v Pani	Viljandimaa	""	Olustvere vald	""	58.71667	25.56667	4	Venemaa	19	0.36	Venemaa konsulaat			59.4386111111111	24.7447222222222	""	""	5	ülik	Pb kub Andromeri loomakasv.k	17	""	""	Taluom  Toomas J. (1846--1907, Rein J.), Marie Siimer (1859--1933, Olustvere v  Hendrikult).	V-d Hans (1891--1941, vt), August (1903--, vt).	Ae 1918  k.õp Zinaida Novosjolova (1892--, Vjatkast).	Magda (1922).
$aJaanus, Johannes,$d1861-1941	ISIK890	http://viaf.org/viaf/6985149544613800490008	7050	ISIK	890	Jaanus, Johannes	Jaanus, Johannes	õpetaja, preester	""	""	1861-05-12	Lebavere k. Vaba-Põltsamaa v. Viljandimaal.	1941-00-00	""	Lebavere k. Vaba-Põltsamaa v. Viljandimaal.	""	""	""	Vaba-Põltsamaa vald	""	58.60833	25.79722	3	""			""					""	""		""	""	1	""	""	(Tveri kub.	nov.	1911).	JAANUS, Johannes (ps Ivan Staropassonski).
$aJalajas, Oskar,$d1894-1930	ISIK916	""	7079	ISIK	916	Jalajas, O.	""	UNEDITEDI ms-s 1915--17,  48.Siberi kütipolk, al.ltn, I E polk 1917, Sks sõjavang 1917--18,  Vabaduss-s 1918--20 1.jalav.polk, reservis 1920--21, PV 1922--24,  sv.õpetuskom ja SvSt 6.osak 1924--27, VabadussAjalKom 1927--30, major,  erru 1.V 1930.	""	""	1894-02-05	""	1930-12-21	""	""	Ta Kastre-Võnnu v.	Tartumaa	""	Kastre-Võnnu vald	""	58.38065	26.72496	6	Vabaduss-s	7	0.75	""					""	""	5	ülik	Tü jur	6	""	""	""	""	""	""
$aJalakas, August	ISIK920	http://viaf.org/viaf/6968149544613700490002	7084	ISIK	920	Jalakas, A.	""	UNEDITEDKoonga v-sekr õpil 1917, Vee v-sekr 1919--20, sv-s ajateen ja  üat 1920--24, Kaisma v-sekr 1924--, Kergu VTü esim 1931-- ja peam, KL  rühmapeal.	""	""	""	""	""	""	""	Pä Koonga v Tamme Nigula	Pärnumaa	""	Koonga vald	""	58.5864	24.10452	2	Kaisma	2	0.272727272727273	""					""	""	4	kaub.k	Pärnu kaub.kurs	10	""	""	Talun  Annus J., Ann.	""	Ae 1926 Hilda Gross.	Jaan.
$aJalakas, Karl-Arnold,$d1901-1942	ISIK920	http://viaf.org/viaf/6968149544613700490002	7084	ISIK	920	Jalakas, A.	""	UNEDITEDKoonga v-sekr õpil 1917, Vee v-sekr 1919--20, sv-s ajateen ja  üat 1920--24, Kaisma v-sekr 1924--, Kergu VTü esim 1931-- ja peam, KL  rühmapeal.	""	""	""	""	""	""	""	Pä Koonga v Tamme Nigula	Pärnumaa	""	Koonga vald	""	58.5864	24.10452	2	Kaisma	2	0.272727272727273	""					""	""	4	kaub.k	Pärnu kaub.kurs	10	""	""	Talun  Annus J., Ann.	""	Ae 1926 Hilda Gross.	Jaan.
$aJalakas, Rudolf,$d1914-1997	ISIK921	http://viaf.org/viaf/77854841	7085	ISIK	921	Jalakas, Rudolf	""	pangadirektor, majandusteadlane	""	""	1914-09-29	""	1997-03-27	""	""	Lä Haimre v.	Läänemaa	""	Haimre vald	""	58.87143	24.46801	4	Svenska	42	0.493975903614458	""					""	""	5	ülik	Tü rer merc  c.l.	9	""	""	""	""	Puusepp Mihkel J.  Ae.	Kirsti Pörnull.
$aJanno, Richard,$d1900-1942	ISIK925	http://viaf.org/viaf/19607279	7089	ISIK	925	Janno, Richard	""	ajakirjanik, õpetaja	""	""	1900-01-10	Tallinn	1942-12-29	Elva	Tallinn	Tal	""	""	""	Tallinn	59.43696	24.75353	1	Tartu%20linn	15	0.388888888888889	Tartu linn	TRUE		58.38	26.7225	""	""	5	ülik	Helsingi ülik phil	19	""	""	Kingsepp Hans J., Karoline Vegman.	""	Ae 1941 Hilda Põdra  (1906--44, Karjala Permolova metsaül t, mürgitas end, maet Elvas).	""
$aLilienthal, Eduard	ISIK925	http://viaf.org/viaf/19607279	7089	ISIK	925	Janno, Richard	""	ajakirjanik, õpetaja	""	""	1900-01-10	Tallinn	1942-12-29	Elva	Tallinn	Tal	""	""	""	Tallinn	59.43696	24.75353	1	Tartu%20linn	15	0.388888888888889	Tartu linn	TRUE		58.38	26.7225	""	""	5	ülik	Helsingi ülik phil	19	""	""	Kingsepp Hans J., Karoline Vegman.	""	Ae 1941 Hilda Põdra  (1906--44, Karjala Permolova metsaül t, mürgitas end, maet Elvas).	""
$aPahlbärk, Juhan,$cpseud.,$d1900-1942	ISIK925	http://viaf.org/viaf/19607279	7089	ISIK	925	Janno, Richard	""	ajakirjanik, õpetaja	""	""	1900-01-10	Tallinn	1942-12-29	Elva	Tallinn	Tal	""	""	""	Tallinn	59.43696	24.75353	1	Tartu%20linn	15	0.388888888888889	Tartu linn	TRUE		58.38	26.7225	""	""	5	ülik	Helsingi ülik phil	19	""	""	Kingsepp Hans J., Karoline Vegman.	""	Ae 1941 Hilda Põdra  (1906--44, Karjala Permolova metsaül t, mürgitas end, maet Elvas).	""
$aJannsen, Harry,$d1851-1913	ISIK927	http://viaf.org/viaf/13075460	7091	ISIK	927	Jannsen, Harry	""	UNEDITEDEPm toim 1881--82,  Tall-s ja Riias Heimath\'i toim 1882--85, Düna Zeitung\'i ja Rigaer  Zeitung\'i toim.l, Liivim kub.kants abidir, Liivim trükikodade insp,  tsensor --1892, Budapestis West-östliche Rundschau toim, ajakirj Pb-s,  tsensor Tall-s 1908--13.	""	""	1851-00-00	""	1913-00-00	""	""	Pärnu-ülejõel kooliõp Johann Woldemar J. (vt), Emilie Koch.	""	""	""	Pärnu	58.38588	24.49711	1	Tallinn	23	0.489795918367347	City Hotel Tallinn, hotell	FALSE		59.4347222222222	24.7316666666667	""	""	5	ülik	phil	16	""	""	""	""	Ae 1. Rosalie  Müller Tall-st, 2. Lilli Zietemann Riiast.	""
$aJannsen, Johann Voldemar,$d1819-1890	ISIK928	http://viaf.org/viaf/34574621	7092	ISIK	928	Jannsen, Johann Woldemar	Jannsen, Johan~1864-1865	ajakirjanik, kirjanik, ärkamisaja kultuuritegelane, köster, õpetaja	""	""	1819-05-16	Vändra, Pärnumaa	1890-07-13	Tartu	Vändra, Pärnumaa	Pä  V-Vändra m	Pärnumaa	""	""	V-Vändra ms.	58.46667	24.56667	6	Tartu%20linn	17	0.225352112676056	Tartu linn	TRUE		58.38	26.7225	""	""		""	""		""	""	Mölder ja Tõrvaaugu kõrtsm Ado Jensen (1791--1826), Mall  Kuldkepp (1794--1873, pärit S-Jaani Pärassaarelt).	""	Ae Anetta Juliana  Emilie Koch (1821--90, V-Vändra Rõusa karjams sakslasest juustumeistri  t).	Lydia Koidula (Michelson) (1843--86, vt), Eugenie Rosenthal  (1845--87, ae arst Heinrich R. /vt/), Harry (1851--1913, vt), Eugen  (1853--1930, vt).
$aJans, Johan,$d1880-1941	ISIK929	http://viaf.org/viaf/46249068	7093	ISIK	929	Jans, Johan	""	advokaat, pangategelane, poliitik, ajakirjanik	""	""	1880-02-07	Aakre v. Tartumaa	1941-12-00	Solikamsk	Aakre v. Tartumaa	""	""	""	Aakre vald	""	58.10139	26.19444	4	Tartu%20linn	16	0.283333333333333	Tartu linn	TRUE		58.38	26.7225	""	Tartu Ülikool~õigusteaduskond~1915	5	ülik	Tü jur	14	""	""	Tööl Vidrik  J. (1848--, Rõngu v-st), Ann Keres (1855--).	""	Ae 1918 k.õp Sale Pintmann  (1893--, Luunja v-kirj Jaan P., Luise Pruks, vt).	""
$aJansen, August,$d1881-1957	ISIK931	http://viaf.org/viaf/221090873	7095	ISIK	931	Jansen, August	""	maalikunstnik	""	""	1881-10-06	Voltveti v.	1957-01-23	Tallinn	Voltveti v.	Pä Voltveti v  Allikukivi	Pärnumaa	""	Voltveti vald	""	58.15139	25.03389	4	Kõrg	26	0.333333333333333	""					""	""	2	kunstik	Pb kunstik	17	""	""	Kangur (k.õp) Jaan J., Mari Raud.	""	Ae 1914 Helmi Press (snd  Tamman, vt).	Ea (1921, ae Heldur Palli /1928, vt/, vt).
$aJansen, Helmi,$d1889-1960	ISIK933	http://viaf.org/viaf/567149544564100490002	7097	ISIK	933	Jansen, Helmi	Tamman, H.~kuni 1908	poliitik, seltskonnategelane, ajakirjanik	""	""	1889-03-15	Viljandi	1960-03-05	Tallinn	Viljandi	Vilj.	""	""	""	Viljandi	58.36389	25.59	1	Uudiste	10	0.173076923076923	""					""	""	5	ülik	Tall kõrg.tüt.k	4	""	""	Tisler  Tõnis Tamman, Anu Park.	""	Ae 1. 1908--13 W.Press, 2. 1914 August Jansen  (vt).	Ea (1921, vt), 2 t.
